ID,Title,Venue,Year,URL,DOI,OpenReview,Arxiv,Code,Video,Slide,Poster
00007,Differentially Private Federated Learning With Importance Client Sampling,IEEE Transactions on Consumer Electronics,2024,https://ieeexplore.ieee.org/document/10336882,https://doi.org/10.1109/tce.2023.3338464,,https://arxiv.org/abs/1712.07557,,,,
00010,How To Backdoor Federated Learning,Proceedings of the Twenty Third International Conference on Artificial Intelligence and Statistics,2020,https://proceedings.mlr.press/v108/bagdasaryan20a.html,,,https://arxiv.org/abs/1807.00459v3,,,,
00012,Beyond Inferring Class Representatives: User-Level Privacy Leakage From Federated Learning,IEEE INFOCOM 2019 - IEEE Conference on Computer Communications,2019,https://ieeexplore.ieee.org/document/8737416,https://doi.org/10.1109/infocom.2019.8737416,,https://arxiv.org/abs/1812.00535,,,,
00013,LEAF: A Benchmark for Federated Settings,arXiv,2019,,,,https://arxiv.org/abs/1812.01097,,,,
00014,Peer-to-Peer Variational Federated Learning Over Arbitrary Graphs,IEEE Journal on Selected Areas in Information Theory,2022,https://ieeexplore.ieee.org/document/9825726,https://doi.org/10.1109/jsait.2022.3189051,,https://arxiv.org/abs/1901.11173,,,,
00015,Robust Federated Learning via Collaborative Machine Teaching,Proceedings of the AAAI Conference on Artificial Intelligence,2020,,https://doi.org/10.1609/aaai.v34i04.5826,,https://arxiv.org/abs/1905.02941,,,,
00020,Two-stage Federated Phenotyping and Patient Representation Learning,Proceedings of the 18th BioNLP Workshop and Shared Task,2019,,https://doi.org/10.18653/v1/w19-5030,,https://arxiv.org/abs/1908.05596,,,,
00022,Federated Learning for Collaborative Financial Crimes Detection,Federated Learning,2022,,https://doi.org/10.1007/978-3-030-96896-0_20,,https://arxiv.org/abs/1909.12946,,,,
00023,FedPAQ: A Communication-Efficient Federated Learning Method with Periodic Averaging and Quantization,Proceedings of the Twenty Third International Conference on Artificial Intelligence and Statistics,2020,https://proceedings.mlr.press/v108/reisizadeh20a.html,,,https://arxiv.org/abs/1909.13014,,,,
00024,SCAFFOLD: Stochastic Controlled Averaging for Federated Learning,Proceedings of the 37th International Conference on Machine Learning,2020,https://proceedings.mlr.press/v119/karimireddy20a.html,,,https://arxiv.org/abs/1910.06378,,,,
00025,Meta Matrix Factorization for Federated Rating Predictions,Proceedings of the 43rd International ACM SIGIR Conference on Research and Development in Information Retrieval,2020,,https://doi.org/10.1145/3397271.3401081,,https://arxiv.org/abs/1910.10086,,,,
00026,Federated Adversarial Domain Adaptation,arXiv,2025,,,,https://arxiv.org/abs/1911.02054,,,,
00027,Practical Federated Gradient Boosting Decision Trees,Proceedings of the AAAI Conference on Artificial Intelligence,2020,,https://doi.org/10.1609/aaai.v34i04.5895,,https://arxiv.org/abs/1911.04206,,,,
00031,FedVision: An Online Visual Object Detection Platform Powered by Federated Learning,Proceedings of the AAAI Conference on Artificial Intelligence,2020,,https://doi.org/10.1609/aaai.v34i08.7021,,https://arxiv.org/abs/2001.06202,,,,
00034,Federated Extra-Trees with Privacy Preserving,arXiv,2020,,,,https://arxiv.org/abs/2002.07323,,,,
00035,Decentralized Federated Learning via SGD over Wireless D2D Networks,2020 IEEE 21st International Workshop on Signal Processing Advances in Wireless Communications (SPAWC),2020,https://ieeexplore.ieee.org/document/9154332,https://doi.org/10.1109/spawc48557.2020.9154332,,https://arxiv.org/abs/2002.12507,,,,
