"ID","Title","Venue","Year","DOI","OpenReview","Arxiv","Code","Video","Slide","Poster"
"00001","Modeling Long- and Short-Term Temporal Patterns with Deep Neural Networks","The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval","2018","https://doi.org/10.1145/3209978.3210006","","https://arxiv.org/abs/1703.07015","","","",""
"00002","A Dual-Stage Attention-Based Recurrent Neural Network for Time Series Prediction","Proceedings of the Twenty-Sixth International Joint Conference on Artificial Intelligence","2017","https://doi.org/10.24963/ijcai.2017/366","","https://arxiv.org/abs/1704.02971","","","",""
"00003","DeepAR: Probabilistic forecasting with autoregressive recurrent networks","International Journal of Forecasting","2020","https://doi.org/10.1016/j.ijforecast.2019.07.001","","https://arxiv.org/abs/1704.04110","","","",""
"00005","Multi-period Time Series Modeling with Sparsity via Bayesian Variational Inference","","","","","https://arxiv.org/abs/1707.00666","","","",""
"00006","Spatio-Temporal Graph Convolutional Networks: A Deep Learning Framework for Traffic Forecasting","Proceedings of the Twenty-Seventh International Joint Conference on Artificial Intelligence","2018","https://doi.org/10.24963/ijcai.2018/505","","https://arxiv.org/abs/1709.04875","","","",""
"00007","Differentially Private Federated Learning With Importance Client Sampling","IEEE Transactions on Consumer Electronics","2024","https://doi.org/10.1109/tce.2023.3338464","","https://arxiv.org/abs/1712.07557","","","",""
"00008","MOrdReD: Memory-based Ordinal Regression Deep Neural Networks for Time Series Forecasting","","","","","https://arxiv.org/abs/1803.09704","","","",""
"00010","How To Backdoor Federated Learning","","","","","https://arxiv.org/abs/1807.00459","","","",""
"00012","Beyond Inferring Class Representatives: User-Level Privacy Leakage From Federated Learning","IEEE INFOCOM 2019 - IEEE Conference on Computer Communications","2019","https://doi.org/10.1109/infocom.2019.8737416","","https://arxiv.org/abs/1812.00535","","","",""
"00013","LEAF: A Benchmark for Federated Settings","","","","","https://arxiv.org/abs/1812.01097","","","",""
"00014","Peer-to-Peer Variational Federated Learning Over Arbitrary Graphs","IEEE Journal on Selected Areas in Information Theory","2022","https://doi.org/10.1109/jsait.2022.3189051","","https://arxiv.org/abs/1901.11173","","","",""
"00015","Robust Federated Learning via Collaborative Machine Teaching","Proceedings of the AAAI Conference on Artificial Intelligence","2020","https://doi.org/10.1609/aaai.v34i04.5826","","https://arxiv.org/abs/1905.02941","","","",""
"00016","Think Globally, Act Locally: A Deep Neural Network Approach to High-Dimensional Time Series Forecasting","","","","","https://arxiv.org/abs/1905.03806","","","",""
"00017","N-BEATS: Neural basis expansion analysis for interpretable time series forecasting","","","","","https://arxiv.org/abs/1905.10437","","","",""
"00018","Graph WaveNet for Deep Spatial-Temporal Graph Modeling","Proceedings of the Twenty-Eighth International Joint Conference on Artificial Intelligence","2019","https://doi.org/10.24963/ijcai.2019/264","","https://arxiv.org/abs/1906.00121","","","",""
"00019","Enhancing the Locality and Breaking the Memory Bottleneck of Transformer on Time Series Forecasting","","","","","https://arxiv.org/abs/1907.00235","","","",""
"00020","Two-stage Federated Phenotyping and Patient Representation Learning","Proceedings of the 18th BioNLP Workshop and Shared Task","2019","https://doi.org/10.18653/v1/w19-5030","","https://arxiv.org/abs/1908.05596","","","",""
"00021","LSTM-MSNet: Leveraging Forecasts on Sets of Related Time Series With Multiple Seasonal Patterns","IEEE Transactions on Neural Networks and Learning Systems","2021","https://doi.org/10.1109/TNNLS.2020.2985720","","https://arxiv.org/abs/1909.04293","","","",""
"00022","Federated Learning for Collaborative Financial Crimes Detection","Federated Learning","2022","https://doi.org/10.1007/978-3-030-96896-0_20","","https://arxiv.org/abs/1909.12946","","","",""
"00023","FedPAQ: A Communication-Efficient Federated Learning Method with Periodic Averaging and Quantization","","","","","https://arxiv.org/abs/1909.13014","","","",""
"00024","SCAFFOLD: Stochastic Controlled Averaging for Federated Learning","","","","","https://arxiv.org/abs/1910.06378","","","",""
